completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
2018.0,Seputeh,Service Residence,1.0,,1.0,550,Fully Furnished,no
1993.0,Road,Apartment,3.0,1.0,2.0,945,Fully Furnished,
2021.0,Sentul,Service Residence,3.0,,2.0,850,Fully Furnished,yes
,Cheras,Flat,3.0,,2.0,650,Not Furnished,yes
2017.0,Maju,Condominium,3.0,1.0,2.0,770,Partially Furnished,
2019.0,Road,Service Residence,3.0,1.0,2.0,1120,Partially Furnished,
,Desa,Apartment,3.0,,2.0,850,Fully Furnished,
2013.0,Cheras,Service Residence,2.0,1.0,2.0,719,Fully Furnished,yes
2021.0,Jalil,Apartment,3.0,,2.0,850,Partially Furnished,yes
,Besi,Condominium,3.0,2.0,2.0,1106,Partially Furnished,
2008.0,KLCC,Service Residence,2.0,1.0,2.0,1047,Fully Furnished,yes
2021.0,Sentul,Service Residence,3.0,1.0,2.0,850,Partially Furnished,no
2021.0,Setapak,Condominium,3.0,2.0,2.0,800,Partially Furnished,yes
2020.0,Pantai,Apartment,3.0,2.0,2.0,810,Not Furnished,
,Kiara,Duplex,2.0,1.0,2.0,886,Fully Furnished,no
,Cheras,Apartment,2.0,,1.0,668,Partially Furnished,
,Pandan,Apartment,3.0,,2.0,1000,Fully Furnished,yes
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Fully Furnished,no
,Maju,Apartment,3.0,1.0,2.0,800,Partially Furnished,
2017.0,Setapak,Service Residence,3.0,1.0,2.0,900,Fully Furnished,
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Partially Furnished,yes
2015.0,Cheras,Condominium,4.0,,2.0,1364,Fully Furnished,yes
2004.0,Kuching,Condominium,3.0,1.0,2.0,1050,Partially Furnished,no
2010.0,KLCC,Condominium,1.0,1.0,2.0,1348,Fully Furnished,yes
,KLCC,Apartment,2.0,,1.0,900,Not Furnished,
,Cheras,Apartment,3.0,,2.0,650,Not Furnished,no
,Ismail,Condominium,1.0,1.0,1.0,1100,Fully Furnished,yes
,Besi,Service Residence,3.0,2.0,3.0,1430,Partially Furnished,yes
,Kepong,Apartment,3.0,1.0,2.0,850,Partially Furnished,
,Setapak,Service Residence,3.0,1.0,2.0,1000,Partially Furnished,
2016.0,Road,Condominium,3.0,1.0,2.0,1202,Partially Furnished,
,Kuching,Service Residence,3.0,1.0,2.0,900,Partially Furnished,
,Setapak,Condominium,3.0,1.0,2.0,800,Partially Furnished,yes
,Kepong,Condominium,3.0,,2.0,904,Partially Furnished,no
2019.0,Keramat,Condominium,3.0,2.0,2.0,1100,Partially Furnished,no
,Kepong,Service Residence,3.0,,2.0,806,Fully Furnished,no
,Cheras,Apartment,3.0,,2.0,850,Partially Furnished,
,Pandan,Apartment,3.0,,2.0,700,Not Furnished,
,Petaling,Flat,2.0,,1.0,650,Not Furnished,no
2004.0,Kuching,Condominium,3.0,1.0,2.0,1050,Fully Furnished,no
2015.0,Ampang,Service Residence,1.0,1.0,1.0,520,Fully Furnished,no
2020.0,Jalil,Condominium,3.0,2.0,2.0,1100,Fully Furnished,
,City,Service Residence,2.0,1.0,2.0,977,Fully Furnished,yes
,Sentul,Apartment,3.0,1.0,2.0,989,Partially Furnished,
2021.0,Damansara,Service Residence,1.0,1.0,1.0,500,Fully Furnished,yes
,Cheras,Apartment,3.0,2.0,2.0,1000,Partially Furnished,yes
2006.0,ParkCity,Condominium,1.0,1.0,1.0,635,Fully Furnished,no
,Cheras,Apartment,3.0,1.0,2.0,806,Partially Furnished,no
,Maju,Condominium,3.0,,2.0,1184,Partially Furnished,
2018.0,Setapak,Condominium,3.0,1.0,2.0,969,Partially Furnished,
2020.0,Ampang,Service Residence,2.0,1.0,1.0,680,Fully Furnished,no
,Setapak,Condominium,3.0,,2.0,900,Not Furnished,
2022.0,Setapak,Service Residence,3.0,2.0,2.0,880,Fully Furnished,yes
2018.0,Melawati,Service Residence,2.0,2.0,1.0,650,Fully Furnished,no
,Kepong,Apartment,3.0,2.0,2.0,850,Partially Furnished,yes
,Cheras,Condominium,3.0,1.0,2.0,865,Partially Furnished,no
,Cheras,Condominium,3.0,1.0,2.0,1100,Fully Furnished,
2021.0,Damansara,Service Residence,1.0,,1.0,499,Fully Furnished,yes
,Jalil,Condominium,3.0,1.0,2.0,1222,Fully Furnished,yes
