ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
100224142,Putra Villa,2007.0,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1076 sq.ft.,Fully Furnished,,
98974991,The Hamstead,,RM 1 400 per month,Kuala Lumpur - Cheras,Condominium,3,,2.0,947 sq.ft.,Partially Furnished,,
100224298,Anjung Hijau,,RM 1 950 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,,2.0,1100 sq.ft.,Partially Furnished,"Playground, Parking, Jogging Track, Barbeque area, Security, Minimart, Lift",Air-Cond
99705161,Ritchie's Pavilion,,RM 3 500 per month,Kuala Lumpur - Ampang Hilir,Condominium,2,,2.0,880 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Security, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Washing Machine"
92764322,Suasana Lumayan,2015.0,RM 1 650 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1145 sq.ft.,Partially Furnished,"Sauna, Playground, Security, Minimart, Gymnasium",Near KTM/LRT
99824629,Mont Kiara Pines,1993.0,RM 2 700 per month,Kuala Lumpur - Mont Kiara,Condominium,3,1.0,2.0,1300 sq.ft.,Fully Furnished,,
99274322,Villa Angsana,1999.0,RM 1 600 per month,Kuala Lumpur - Jalan Ipoh,Condominium,3,2.0,2.0,1323 sq.ft.,Fully Furnished,"Security, Playground, Tennis Court, Barbeque area, Swimming Pool, Multipurpose hall, Parking, Minimart, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100223741,The Tamarind,2005.0,RM 580 000 per month,Kuala Lumpur - Sentul,Condominium,4,1.0,3.0,1345 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Club house, Gymnasium, Tennis Court, Barbeque area, Parking, Security, Playground, Lift, Multipurpose hall, Jogging Track",
100223905,Kaleidoscope,,RM 2 900 per month,Kuala Lumpur - Setiawangsa,Condominium,3,,2.0,1196 sq.ft.,Partially Furnished,,
100075932,Berlian Residence @ Setapak,,RM 1 200 per month,Kuala Lumpur - Setapak,Condominium,2,1.0,2.0,900 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Cooking Allowed
100075778,Berlian Residence @ Setapak,,RM 1 500 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,900 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Cooking Allowed
98798782,Vista Komanwel C,,RM 1 800 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,1.0,2.0,1240 sq.ft.,Fully Furnished,"Lift, Minimart, Swimming Pool, Sauna, Playground, Jogging Track, Gymnasium, Parking, Security, Barbeque area, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
99741162,Bukit Segambut,,RM 1 250 per month,Kuala Lumpur - Segambut,Apartment,3,1.0,2.0,955 sq.ft.,Partially Furnished,"Security, Parking, Minimart, Playground, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed"
92277539,Seri Maya,2008.0,RM 1 600 per month,Kuala Lumpur - Setiawangsa,Condominium,3,1.0,2.0,1250 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security, Gymnasium, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT"
100223419,TR Residence,,RM 2 300 per month,Kuala Lumpur - Titiwangsa,Service Residence,2,1.0,1.0,710 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Playground, Barbeque area, Jogging Track, Multipurpose hall, Security, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
98956203,M City,2016.0,RM 2 400 per month,Kuala Lumpur - KL City,Service Residence,2,1.0,2.0,890 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Sauna, Parking, Barbeque area, Security, Gymnasium, Lift, Minimart, Squash Court",
100223544,The Annex @ Medan Connaught,2019.0,RM 1 300 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,1.0,595 sq.ft.,Not Furnished,"Playground, Gymnasium, Security, Swimming Pool, Parking",
100223511,Rose Vista,,RM 1 400 per month,Kuala Lumpur - Ampang,Condominium,3,1.0,2.0,1000 sq.ft.,Fully Furnished,"Barbeque area, Security, Playground, Parking, Swimming Pool, Lift, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100223227,KL Traders Square Residences,2019.0,RM 1 900 per month,Kuala Lumpur - Gombak,Service Residence,4,1.0,2.0,940 sq.ft.,Fully Furnished,,
100223226,Bukit Mas Apartment,,RM 1 400 per month,Kuala Lumpur - Taman Melawati,Apartment,3,,2.0,950 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed"
