Wilayah,Propinsi,UN SMP,UN SMA IPA,UN SMA IPS,Tahun
Kab. Solok,Sumatera Barat,48.71,49.26,45.81,2018
Kab. Padang Pariaman,Sumatera Barat,46.94,47.36,41.74,2018
Kab. Pesisir Selatan,Sumatera Barat,49.3,44.45,39.48,2018
Kab. Tanah Datar,Sumatera Barat,53.83,56.0,50.91,2018
Kab. Sijunjung,Sumatera Barat,49.9,50.6,46.27,2018
Kab. Kepulauan Mentawai,Sumatera Barat,51.07,40.13,38.01,2018
Kab. Solok Selatan,Sumatera Barat,47.68,48.42,42.14,2018
Kab. Dharmasraya,Sumatera Barat,49.95,49.85,44.16,2018
Kab. Pasaman Barat,Sumatera Barat,48.13,49.23,44.33,2018
Kota Bukittinggi,Sumatera Barat,62.52,61.9,54.06,2018
Kota Padang,Sumatera Barat,59.21,58.55,48.88,2018
Kota Padang Panjang,Sumatera Barat,60.73,63.46,55.62,2018
Kota Sawahlunto,Sumatera Barat,54.76,61.3,52.08,2018
Kota Solok,Sumatera Barat,55.4,52.5,46.42,2018
Kota Payakumbuh,Sumatera Barat,59.75,61.23,52.65,2018
Kota Pariaman,Sumatera Barat,50.99,52.27,43.04,2018
Prov. Riau,Riau,48.47,50.51,45.74,2018
Kab. Kampar,Riau,45.23,46.04,42.49,2018
Kab. Bengkalis,Riau,50.78,49.38,43.55,2018
Kab. Indragiri Hulu,Riau,43.98,48.2,43.6,2018
Kab. Indragiri Hilir,Riau,53.44,49.51,52.69,2018
Kab. Pelalawan,Riau,45.92,48.06,44.44,2018
Kab. Rokan Hulu,Riau,46.26,45.36,42.22,2018
Kab. Rokan Hilir,Riau,48.61,46.11,44.81,2018
Kab. Siak,Riau,43.66,47.99,43.37,2018
Kab. Kuantan Singingi,Riau,40.91,48.98,43.85,2018
Kab. Kepulauan Meranti,Riau,48.89,46.12,40.71,2018
Kota Pekanbaru,Riau,54.47,61.57,52.57,2018
Kota Dumai,Riau,49.75,54.36,44.96,2018
Prov. Jambi,Jambi,46.83,47.13,42.07,2018
Kab. Batanghari,Jambi,44.56,45.53,40.53,2018
Kab. Bungo,Jambi,42.84,43.82,40.41,2018
Kab. Sarolangun,Jambi,43.28,43.07,39.26,2018
Kab. Tanjung Jabung Barat,Jambi,45.8,46.39,40.37,2018
Kab. Kerinci,Jambi,44.78,41.77,36.51,2018
Kab. Tebo,Jambi,49.86,45.36,43.64,2018
Kab. Muaro Jambi,Jambi,44.31,48.71,42.04,2018
Kab. Tanjung Jabung Timur,Jambi,47.18,43.39,41.81,2018
Kab. Merangin,Jambi,48.8,46.04,43.11,2018
Kota Jambi,Jambi,50.93,52.78,45.65,2018
Kota Sungai Penuh,Jambi,47.54,45.78,41.89,2018
Prov. Sumatera Selatan,Sumatera Selatan,46.12,46.05,41.07,2018
Kab. Musi Banyuasin,Sumatera Selatan,45.07,40.58,37.9,2018
Kab. Ogan Komering Ilir,Sumatera Selatan,52.32,41.72,40.22,2018
Kab. Ogan Komering Ulu,Sumatera Selatan,43.48,47.62,41.51,2018
Kab. Muara Enim,Sumatera Selatan,44.81,44.31,40.7,2018
Kab. Lahat,Sumatera Selatan,41.7,43.67,38.2,2018
Kab. Musi Rawas,Sumatera Selatan,47.01,49.57,45.84,2018
Kab. Banyuasin,Sumatera Selatan,51.02,42.31,42.18,2018
Kab. Ogan Komering Ulu Timur,Sumatera Selatan,44.37,43.99,40.77,2018
Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,45.12,43.05,41.0,2018
Kab. Ogan Ilir,Sumatera Selatan,43.75,41.84,39.79,2018
Kab. Empat Lawang,Sumatera Selatan,38.36,39.34,37.1,2018
Kab. Penukal Abab Lematang Ilir,Sumatera Selatan,39.89,39.05,35.5,2018
Kab. Musi Rawas Utara,Sumatera Selatan,49.85,36.16,33.54,2018
Kota Palembang,Sumatera Selatan,47.16,53.53,45.11,2018
Kota Prabumulih,Sumatera Selatan,47.33,48.15,42.27,2018
Kota Lubuklinggau,Sumatera Selatan,44.3,44.72,39.46,2018
Kota Pagar Alam,Sumatera Selatan,43.27,42.51,38.45,2018
Prov. Lampung,Lampung,46.87,47.98,42.92,2018
Kab. Lampung Selatan,Lampung,46.53,47.28,42.5,2018
Kab. Lampung Tengah,Lampung,45.84,46.81,43.36,2018
Kab. Lampung Utara,Lampung,46.6,45.12,40.76,2018
Kab. Lampung Barat,Lampung,53.45,43.74,41.79,2018
Kab. Tulang Bawang,Lampung,46.35,42.49,41.37,2018
Kab. Tanggamus,Lampung,44.46,43.13,40.97,2018
Kab. Lampung Timur,Lampung,44.2,44.94,42.66,2018
Kab. Way Kanan,Lampung,47.29,41.27,40.64,2018
Kab. Pesawaran,Lampung,43.18,44.18,39.65,2018
Kab. Pringsewu,Lampung,47.82,50.03,46.02,2018
Kab. Mesuji,Lampung,44.29,40.36,39.06,2018
Kab. Tulang Bawang Barat,Lampung,44.12,47.21,42.12,2018
Kab. Pesisir Barat,Lampung,42.44,41.81,38.11,2018
Kota Bandar Lampung,Lampung,52.29,55.34,47.47,2018
Kota Metro,Lampung,53.22,55.04,48.09,2018
Prov. Kalimantan Barat,Kalimantan Barat,46.52,48.4,42.95,2018
Kab. Sambas,Kalimantan Barat,46.3,51.86,46.48,2018
Kab. Mempawah,Kalimantan Barat,46.03,49.47,40.82,2018
Kab. Sanggau,Kalimantan Barat,44.58,45.06,42.39,2018
Kab. Sintang,Kalimantan Barat,50.05,44.77,42.46,2018
Kab. Kapuas Hulu,Kalimantan Barat,42.9,43.16,39.97,2018
Kab. Ketapang,Kalimantan Barat,43.68,48.29,44.0,2018
Kab. Bengkayang,Kalimantan Barat,43.39,41.2,40.53,2018
Kab. Landak,Kalimantan Barat,39.44,39.99,37.12,2018
Kab. Sekadau,Kalimantan Barat,49.54,43.94,41.9,2018
Kab. Melawi,Kalimantan Barat,42.0,41.71,39.79,2018
Kab. Kayong Utara,Kalimantan Barat,42.11,40.99,40.28,2018
Kab. Kubu Raya,Kalimantan Barat,48.15,46.23,40.82,2018
Kota Pontianak,Kalimantan Barat,53.5,58.31,48.51,2018
Kota Singkawang,Kalimantan Barat,49.8,55.64,47.88,2018
Prov. Kalimantan Tengah,Kalimantan Tengah,52.15,46.06,42.0,2018
Kab. Kapuas,Kalimantan Tengah,57.47,46.82,43.21,2018
Kab. Barito Selatan,Kalimantan Tengah,62.27,47.42,43.08,2018
Kab. Barito Utara,Kalimantan Tengah,49.85,46.2,41.91,2018
Kab. Kotawaringin Timur,Kalimantan Tengah,50.38,49.96,43.45,2018
Kab. Kotawaringin Barat,Kalimantan Tengah,50.2,50.3,45.3,2018
Kab. Katingan,Kalimantan Tengah,48.89,42.09,39.91,2018
Kab. Seruyan,Kalimantan Tengah,47.78,46.05,42.41,2018
Kab. Sukamara,Kalimantan Tengah,48.16,42.22,41.95,2018
Kab. Lamandau,Kalimantan Tengah,54.38,41.73,39.58,2018
Kab. Gunung Mas,Kalimantan Tengah,49.32,39.3,36.57,2018
Kab. Pulang Pisau,Kalimantan Tengah,56.89,42.18,40.5,2018
Kab. Murung Raya,Kalimantan Tengah,50.88,39.7,36.56,2018
Kab. Barito Timur,Kalimantan Tengah,49.07,43.19,41.64,2018
Kota Palangka Raya,Kalimantan Tengah,50.64,48.32,43.69,2018
Prov. Kalimantan Selatan,Kalimantan Selatan,50.59,52.64,47.08,2018
Kab. Banjar,Kalimantan Selatan,53.16,50.45,46.12,2018
Kab. Tanah Laut,Kalimantan Selatan,49.08,50.68,45.82,2018
Kab. Barito Kuala,Kalimantan Selatan,54.08,49.47,46.0,2018
Kab. Tapin,Kalimantan Selatan,49.99,51.49,43.84,2018
Kab. Hulu Sungai Selatan,Kalimantan Selatan,47.99,52.69,47.93,2018
Kab. Hulu Sungai Tengah,Kalimantan Selatan,47.36,57.18,50.37,2018
Kab. Hulu Sungai Utara,Kalimantan Selatan,49.35,56.81,50.07,2018
Kab. Tabalong,Kalimantan Selatan,51.24,50.77,44.92,2018
Kab. Kotabaru,Kalimantan Selatan,51.24,47.99,43.35,2018
Kab. Balangan,Kalimantan Selatan,45.96,45.43,42.44,2018
Kab. Tanah Bumbu,Kalimantan Selatan,47.54,48.98,46.08,2018
Kota Banjarmasin,Kalimantan Selatan,51.7,55.26,49.93,2018
Kota Banjarbaru,Kalimantan Selatan,52.21,58.26,49.54,2018
Prov. Kalimantan Timur,Kalimantan Timur,51.82,53.94,48.48,2018
Kab. Paser,Kalimantan Timur,48.25,49.24,45.82,2018
Kab. Kutai Kartanegara,Kalimantan Timur,49.59,48.46,47.44,2018
Kab. Berau,Kalimantan Timur,47.91,47.32,43.67,2018
Kab. Kutai Barat,Kalimantan Timur,51.3,45.17,44.15,2018
Kab. Kutai Timur,Kalimantan Timur,51.48,50.97,45.94,2018
Kab. Penajam Paser Utara,Kalimantan Timur,52.03,55.22,47.38,2018
Kab. Mahakam Ulu,Kalimantan Timur,56.97,58.47,53.61,2018
Kota Samarinda,Kalimantan Timur,51.22,56.94,49.58,2018
Kota Balikpapan,Kalimantan Timur,56.65,60.51,51.45,2018
Kota Bontang,Kalimantan Timur,58.06,63.4,58.75,2018
Prov. Sulawesi Utara,Sulawesi Utara,48.18,45.45,39.69,2018
Kab. Bolaang Mongondow,Sulawesi Utara,45.85,41.86,39.38,2018
Kab. Minahasa,Sulawesi Utara,49.8,43.17,37.56,2018
Kab. Kepulauan Sangihe,Sulawesi Utara,58.27,45.09,39.84,2018
Kab. Kepulauan Talaud,Sulawesi Utara,63.13,41.81,43.86,2018
Kab. Minahasa Selatan,Sulawesi Utara,43.88,40.55,37.27,2018
Kab. Minahasa Utara,Sulawesi Utara,52.32,48.06,37.96,2018
Kab. Bolaang Mongondow Utara,Sulawesi Utara,39.71,37.22,35.63,2018
"Kab. Kepulauan Siau, Tagulandang, Biaro",Sulawesi Utara,55.04,40.67,35.96,2018
Kab. Minahasa Tenggara,Sulawesi Utara,41.63,40.14,34.49,2018
Kab. Bolaang Mongondow Timur,Sulawesi Utara,56.69,38.39,34.7,2018
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,57.08,38.41,34.35,2018
Kota Manado,Sulawesi Utara,46.85,48.94,42.37,2018
Kota Bitung,Sulawesi Utara,43.46,48.05,39.75,2018
Kota Tomohon,Sulawesi Utara,48.78,54.41,49.02,2018
Kota Kotamobagu,Sulawesi Utara,41.85,44.15,37.92,2018
Prov. Sulawesi Tengah,Sulawesi Tengah,47.15,44.52,39.08,2018
Kab. Banggai Kepulauan,Sulawesi Tengah,56.88,44.54,42.08,2018
Kab. Donggala,Sulawesi Tengah,49.91,37.99,37.13,2018
Kab. Poso,Sulawesi Tengah,47.79,48.11,42.93,2018
Kab. Banggai,Sulawesi Tengah,48.71,45.91,39.12,2018
Kab. Buol,Sulawesi Tengah,42.2,39.05,35.4,2018
Kab. Tolitoli,Sulawesi Tengah,43.59,45.1,40.05,2018
Kab. Morowali,Sulawesi Tengah,50.53,44.54,39.51,2018
Kab. Parigi Moutong,Sulawesi Tengah,44.03,42.2,38.12,2018
Kab. Tojo Una Una,Sulawesi Tengah,43.74,40.79,38.23,2018
Kab. Sigi,Sulawesi Tengah,46.25,39.11,35.5,2018
Kab. Banggai Laut,Sulawesi Tengah,47.64,40.82,37.56,2018
Kab. Morowali Utara,Sulawesi Tengah,47.36,45.53,41.85,2018
Kota Palu,Sulawesi Tengah,48.33,50.7,41.39,2018
Prov. Sulawesi Selatan,Sulawesi Selatan,48.56,45.2,40.16,2018
Kab. Maros,Sulawesi Selatan,44.06,44.18,39.9,2018
Kab. Pangkajene Kepulauan,Sulawesi Selatan,51.29,48.52,39.04,2018
Kab. Gowa,Sulawesi Selatan,46.21,39.58,36.77,2018
Kab. Takalar,Sulawesi Selatan,47.22,39.41,36.75,2018
Kab. Jeneponto,Sulawesi Selatan,45.2,39.91,36.89,2018
Kab. Barru,Sulawesi Selatan,42.64,46.16,38.4,2018
Kab. Bone,Sulawesi Selatan,49.2,46.0,41.99,2018
Kab. Wajo,Sulawesi Selatan,53.57,50.6,42.92,2018
Kab. Soppeng,Sulawesi Selatan,53.01,53.03,45.16,2018
Kab. Bantaeng,Sulawesi Selatan,50.15,44.42,40.18,2018
Kab. Bulukumba,Sulawesi Selatan,63.83,43.27,40.22,2018
Kab. Sinjai,Sulawesi Selatan,49.13,44.95,38.88,2018
Kab. Kepulauan Selayar,Sulawesi Selatan,59.98,45.69,40.63,2018
Kab. Pinrang,Sulawesi Selatan,44.01,44.32,39.89,2018
Kab. Sidenreng Rappang,Sulawesi Selatan,45.76,45.14,40.86,2018
Kab. Enrekang,Sulawesi Selatan,50.38,49.26,42.27,2018
Kab. Luwu,Sulawesi Selatan,42.82,38.06,35.91,2018
Kab. Tana Toraja,Sulawesi Selatan,46.49,46.15,42.23,2018
Kab. Luwu Utara,Sulawesi Selatan,47.33,42.09,37.63,2018
Kab. Luwu Timur,Sulawesi Selatan,45.98,46.05,40.84,2018
Kab. Toraja Utara,Sulawesi Selatan,53.63,46.48,41.41,2018
Kota Makassar,Sulawesi Selatan,48.61,49.04,42.4,2018
Kota Parepare,Sulawesi Selatan,44.02,50.0,42.22,2018
Kota Palopo,Sulawesi Selatan,44.19,46.75,39.83,2018
Prov. Sulawesi Tenggara,Sulawesi Tenggara,51.65,48.54,44.49,2018
Kab. Konawe,Sulawesi Tenggara,47.98,43.55,40.97,2018
Kab. Muna,Sulawesi Tenggara,55.3,49.2,45.03,2018
Kab. Buton,Sulawesi Tenggara,52.05,49.76,45.75,2018
Kab. Kolaka,Sulawesi Tenggara,44.37,47.16,40.67,2018
Kab. Konawe Selatan,Sulawesi Tenggara,48.2,49.98,47.84,2018
Kab. Wakatobi,Sulawesi Tenggara,51.19,50.87,43.67,2018
Kab. Bombana,Sulawesi Tenggara,56.41,46.23,43.41,2018
Kab. Kolaka Utara,Sulawesi Tenggara,55.67,43.34,39.39,2018
Kab. Konawe Utara,Sulawesi Tenggara,57.03,46.71,49.74,2018
Kab. Buton Utara,Sulawesi Tenggara,67.8,55.36,54.94,2018
Kab. Kolaka Timur,Sulawesi Tenggara,59.73,53.62,49.83,2018
Kab. Konawe Kepulauan,Sulawesi Tenggara,67.9,57.79,57.07,2018
Kab. Muna Barat,Sulawesi Tenggara,61.12,45.78,41.37,2018
Kab. Buton Selatan,Sulawesi Tenggara,53.13,50.12,46.3,2018
Kab. Buton Tengah,Sulawesi Tenggara,51.14,48.76,46.96,2018
Kota Kendari,Sulawesi Tenggara,46.23,49.5,41.45,2018
Kota Baubau,Sulawesi Tenggara,46.26,48.11,39.27,2018
Prov. Maluku,Maluku,55.67,55.69,53.38,2018
Kab. Maluku Tengah,Maluku,62.97,59.33,59.27,2018
Kab. Maluku Tenggara,Maluku,43.71,36.85,35.7,2018
Kab. Buru,Maluku,63.02,67.93,69.0,2018
Kab. Maluku Tenggara Barat,Maluku,45.64,35.32,33.54,2018
Kab. Seram Bagian Barat,Maluku,64.41,61.95,65.35,2018
Kab. Seram Bagian Timur,Maluku,69.02,63.7,66.06,2018
Kab. Kepulauan Aru,Maluku,43.1,36.61,35.18,2018
Kab. Maluku Barat Daya,Maluku,44.93,46.31,45.43,2018
Kab. Buru Selatan,Maluku,67.42,62.67,61.56,2018
Kota Ambon,Maluku,46.5,56.59,47.27,2018
Kota Tual,Maluku,44.89,38.68,37.6,2018
Prov. Bali,Bali,53.35,60.87,48.57,2018
Kab. Buleleng,Bali,48.83,55.69,44.53,2018
Kab. Jembrana,Bali,48.28,54.55,44.13,2018
Kab. Tabanan,Bali,50.6,55.94,44.49,2018
Kab. Badung,Bali,54.67,60.39,50.81,2018
Kab. Gianyar,Bali,55.4,63.92,52.12,2018
Kab. Klungkung,Bali,49.86,57.2,45.8,2018
Kab. Bangli,Bali,48.02,52.28,44.81,2018
Kab. Karangasem,Bali,49.84,59.61,46.51,2018
Kota Denpasar,Bali,62.44,68.08,55.85,2018
Prov. Nusa Tenggara Barat,Nusa Tenggara Barat,44.39,43.83,39.39,2018
Kab. Lombok Barat,Nusa Tenggara Barat,43.78,43.42,38.4,2018
Kab. Lombok Tengah,Nusa Tenggara Barat,46.7,43.0,38.96,2018
Kab. Lombok Timur,Nusa Tenggara Barat,43.14,44.96,41.4,2018
Kab. Sumbawa,Nusa Tenggara Barat,45.15,48.34,43.22,2018
Kab. Dompu,Nusa Tenggara Barat,37.58,36.69,33.14,2018
Kab. Bima,Nusa Tenggara Barat,40.56,35.69,32.39,2018
Kab. Sumbawa Barat,Nusa Tenggara Barat,51.6,49.58,45.76,2018
Kab. Lombok Utara,Nusa Tenggara Barat,40.57,44.5,38.2,2018
Kota Mataram,Nusa Tenggara Barat,54.27,56.56,46.07,2018
Kota Bima,Nusa Tenggara Barat,39.99,41.42,37.04,2018
Prov. Nusa Tenggara Timur,Nusa Tenggara Timur,51.16,44.3,40.9,2018
Kab. Kupang,Nusa Tenggara Timur,43.88,38.48,37.3,2018
Kab. Timor Tengah Selatan,Nusa Tenggara Timur,57.03,49.23,48.14,2018
Kab. Timor Tengah Utara,Nusa Tenggara Timur,49.44,41.77,38.74,2018
Kab. Belu,Nusa Tenggara Timur,42.01,42.61,39.74,2018
Kab. Alor,Nusa Tenggara Timur,60.19,41.73,37.96,2018
Kab. Flores Timur,Nusa Tenggara Timur,47.2,45.0,41.96,2018
Kab. Sikka,Nusa Tenggara Timur,47.59,47.11,43.25,2018
Kab. Ende,Nusa Tenggara Timur,47.41,46.88,40.25,2018
Kab. Ngada,Nusa Tenggara Timur,47.27,49.77,45.79,2018
Kab. Manggarai,Nusa Tenggara Timur,54.99,46.06,41.12,2018
Kab. Sumba Timur,Nusa Tenggara Timur,41.22,41.32,36.98,2018
Kab. Sumba Barat,Nusa Tenggara Timur,40.71,40.37,35.27,2018
Kab. Lembata,Nusa Tenggara Timur,47.3,44.23,42.9,2018
Kab. Rote Ndao,Nusa Tenggara Timur,56.12,41.34,38.99,2018
Kab. Manggarai Barat,Nusa Tenggara Timur,62.05,50.64,49.1,2018
Kab. Nagekeo,Nusa Tenggara Timur,46.72,46.82,42.32,2018
Kab. Sumba Tengah,Nusa Tenggara Timur,54.8,41.0,35.22,2018
Kab. Sumba Barat Daya,Nusa Tenggara Timur,56.06,41.59,38.37,2018
Kab. Manggarai Timur,Nusa Tenggara Timur,61.75,47.04,48.02,2018
Kab. Sabu Raijua,Nusa Tenggara Timur,52.62,36.39,33.66,2018
Kab. Malaka,Nusa Tenggara Timur,49.63,36.5,34.42,2018
Kota Kupang,Nusa Tenggara Timur,46.98,47.18,39.47,2018
Prov. Papua,Papua,51.82,43.51,41.73,2018
Kab. Jayapura,Papua,42.06,38.02,33.98,2018
Kab. Biak Numfor,Papua,56.91,41.03,39.62,2018
Kab. Kepulauan Yapen,Papua,39.02,35.69,32.86,2018
Kab. Merauke,Papua,46.57,43.99,36.44,2018
Kab. Jayawijaya,Papua,69.73,45.47,48.52,2018
Kab. Nabire,Papua,45.92,47.24,40.19,2018
Kab. Paniai,Papua,73.95,45.62,45.09,2018
Kab. Puncak Jaya,Papua,41.29,37.19,37.58,2018
Kab. Mimika,Papua,46.62,42.89,40.33,2018
Kab. Boven Digoel,Papua,43.45,36.89,36.2,2018
Kab. Mappi,Papua,40.84,32.79,30.7,2018
Kab. Asmat,Papua,65.79,61.49,59.42,2018
Kab. Yahukimo,Papua,69.08,64.57,63.27,2018
Kab. Pegunungan Bintang,Papua,56.19,52.08,57.73,2018
Kab. Tolikara,Papua,69.14,54.03,64.61,2018
Kab. Sarmi,Papua,52.43,36.54,32.67,2018
Kab. Keerom,Papua,46.19,42.2,40.06,2018
Kab. Waropen,Papua,48.91,37.41,35.47,2018
Kab. Supiori,Papua,36.57,31.69,30.09,2018
Kab. Mamberamo Raya,Papua,68.07,54.01,55.67,2018
Kab. Nduga,Papua,67.63,0.0,68.59,2018
Kab. Lanny Jaya,Papua,71.98,56.27,51.4,2018
Kab. Mamberamo Tengah,Papua,68.71,63.34,63.01,2018
Kab. Yalimo,Papua,68.22,55.79,59.17,2018
kab. Puncak,Papua,70.07,63.15,53.88,2018
Kab. Dogiyai,Papua,53.59,58.55,58.57,2018
Kab. Deiyai,Papua,48.34,42.38,42.91,2018
Kab. Intan Jaya,Papua,71.62,51.77,53.88,2018
Kota Jayapura,Papua,45.96,47.04,38.29,2018
Prov. Bengkulu,Bengkulu,45.91,47.97,43.17,2018
Kab. Bengkulu Utara,Bengkulu,45.67,47.06,43.1,2018
Kab. Rejang Lebong,Bengkulu,45.2,47.78,44.91,2018
Kab. Bengkulu Selatan,Bengkulu,43.56,49.26,43.57,2018
Kab. Mukomuko,Bengkulu,45.7,44.49,41.25,2018
Kab. Kepahiang,Bengkulu,44.18,45.39,42.25,2018
Kab. Lebong,Bengkulu,41.6,46.79,40.98,2018
Kab. Kaur,Bengkulu,42.1,43.1,38.45,2018
Kab. Seluma,Bengkulu,42.17,39.14,36.96,2018
Kab. Bengkulu Tengah,Bengkulu,51.55,42.39,40.15,2018
Kota Bengkulu,Bengkulu,50.94,54.77,49.04,2018
Prov. Maluku Utara,Maluku Utara,54.1,46.55,46.24,2018
Kab. Pulau Taliabu,Maluku Utara,56.85,59.82,60.95,2018
Kab. Halmahera Tengah,Maluku Utara,57.29,51.06,58.2,2018
Kab. Halmahera Barat,Maluku Utara,56.49,43.29,41.05,2018
Kab. halmahera Utara,Maluku Utara,48.17,42.22,41.72,2018
Kab. Halmahera Selatan,Maluku Utara,54.64,44.33,44.1,2018
Kab. Halmahera Timur,Maluku Utara,56.12,45.22,45.46,2018
Kab. Kepulauan Sula,Maluku Utara,65.54,56.73,59.27,2018
Kab. Kepulauan Morotai,Maluku Utara,53.6,46.03,47.46,2018
Kota Ternate,Maluku Utara,45.9,42.25,36.72,2018
Kota Tidore Kepulauan,Maluku Utara,57.82,54.42,51.45,2018
Prov. Banten,Banten,46.42,50.63,43.88,2018
Kab. Pandeglang,Banten,42.2,42.26,39.45,2018
Kab. Lebak,Banten,41.29,41.75,40.25,2018
Kab. Tangerang,Banten,45.16,48.74,42.96,2018
Kab. Serang,Banten,42.06,41.36,38.09,2018
Kota Cilegon,Banten,50.06,52.54,44.14,2018
Kota Tangerang,Banten,53.13,58.19,50.53,2018
Kota Serang,Banten,44.61,51.48,43.38,2018
Kota Tangerang Selatan,Banten,56.26,64.06,56.12,2018
Prov. Bangka Belitung,Bangka Belitung,50.87,52.22,47.91,2018
Kab. Bangka,Bangka Belitung,50.09,52.76,48.07,2018
Kab. Belitung,Bangka Belitung,51.03,54.17,49.49,2018
Kab. Bangka Tengah,Bangka Belitung,49.47,50.79,46.81,2018
Kab. Bangka Barat,Bangka Belitung,48.89,48.01,44.84,2018
Kab. Bangka Selatan,Bangka Belitung,47.92,45.85,43.01,2018
Kab. Belitung Timur,Bangka Belitung,51.11,56.42,49.52,2018
Kota Pangkalpinang,Bangka Belitung,57.21,57.56,52.84,2018
Prov. Gorontalo,Gorontalo,46.0,44.08,38.84,2018
Kab. Boalemo,Gorontalo,42.43,40.22,38.1,2018
Kab. Gorontalo,Gorontalo,45.06,41.36,37.91,2018
Kab. Pohuwato,Gorontalo,44.33,39.55,35.34,2018
Kab. Bone Bolango,Gorontalo,52.4,49.4,41.46,2018
Kab. Gorontalo Utara,Gorontalo,48.04,39.32,38.46,2018
Kota Gorontalo,Gorontalo,45.6,51.81,43.08,2018
Prov. Kepulauan Riau,Kepulauan Riau,53.79,55.64,49.86,2018
Kab. Bintan,Kepulauan Riau,51.88,51.72,47.61,2018
Kab. Karimun,Kepulauan Riau,49.72,50.81,47.42,2018
Kab. Natuna,Kepulauan Riau,46.16,43.78,41.04,2018
Kab. Lingga,Kepulauan Riau,45.87,47.32,42.52,2018
Kab. Kepulauan Anambas,Kepulauan Riau,45.73,44.14,40.09,2018
Kota Batam,Kepulauan Riau,56.59,59.96,54.25,2018
Kota Tanjungpinang,Kepulauan Riau,55.76,60.86,50.33,2018
Prov. Papua Barat,Papua Barat,52.83,47.68,45.73,2018
Kab. Fakfak,Papua Barat,47.97,50.27,48.0,2018
Kab. Kaimana,Papua Barat,41.97,43.04,36.31,2018
Kab. Teluk Wondama,Papua Barat,58.43,52.43,47.87,2018
Kab. Teluk Bintuni,Papua Barat,53.74,51.63,52.69,2018
Kab. Manokwari,Papua Barat,49.1,45.56,40.37,2018
Kab. Sorong Selatan,Papua Barat,69.26,48.47,44.97,2018
Kab. Sorong,Papua Barat,50.01,54.02,53.24,2018
Kab. Raja Ampat,Papua Barat,59.51,46.16,52.14,2018
Kab. Tambrauw,Papua Barat,55.1,43.01,43.96,2018
Kab. Maybrat,Papua Barat,66.89,56.49,62.43,2018
Kab. Pegunungan Arfak,Papua Barat,58.52,60.34,63.84,2018
Kab. Manokwari Selatan,Papua Barat,62.6,35.26,36.93,2018
Kota Sorong,Papua Barat,51.42,45.36,39.55,2018
Prov. Sulawesi Barat,Sulawesi Barat,44.82,42.09,37.85,2018
Kab. Mamuju,Sulawesi Barat,41.81,41.1,36.34,2018
Kab. Pasangkayu,Sulawesi Barat,47.98,37.08,36.72,2018
Kab. Polewali Mandar,Sulawesi Barat,43.72,43.26,38.17,2018
Kab. Mamasa,Sulawesi Barat,56.83,48.51,43.77,2018
Kab. Majene,Sulawesi Barat,40.64,43.15,37.34,2018
Kab. Mamuju Tengah,Sulawesi Barat,40.81,40.5,37.33,2018
Prov. Kalimantan Utara,Kalimantan Utara,49.29,45.47,42.23,2018
Kab. Malinau,Kalimantan Utara,48.78,41.35,39.4,2018
Kab. Bulungan,Kalimantan Utara,48.51,46.03,43.31,2018
Kab. Tana Tidung,Kalimantan Utara,43.56,40.18,38.08,2018
Kab. Nunukan,Kalimantan Utara,47.66,41.63,38.77,2018
Prov. D.K.I. Jakarta,D.K.I. Jakarta,62.17,67.99,63.75,2019
Kab. Kepulauan Seribu,D.K.I. Jakarta,45.26,0.0,0.0,2019
Kota Jakarta Pusat,D.K.I. Jakarta,60.97,69.43,64.01,2019
Kota Jakarta Utara,D.K.I. Jakarta,60.09,66.59,61.53,2019
Kota Jakarta Barat,D.K.I. Jakarta,60.42,69.31,63.85,2019
Kota Jakarta Selatan,D.K.I. Jakarta,64.13,68.94,65.22,2019
Kota Jakarta Timur,D.K.I. Jakarta,63.7,66.61,63.62,2019
Prov. Jawa Barat,Jawa Barat,53.57,54.43,48.57,2019
Kab. Bogor,Jawa Barat,50.0,53.62,48.84,2019
Kab. Sukabumi,Jawa Barat,60.25,50.35,44.83,2019
Kab. Cianjur,Jawa Barat,51.81,49.01,41.18,2019
Kab. Bandung,Jawa Barat,54.13,51.43,45.64,2019
Kab. Sumedang,Jawa Barat,50.92,53.4,48.63,2019
Kab. Garut,Jawa Barat,46.42,48.33,43.91,2019
Kab. Tasikmalaya,Jawa Barat,53.54,49.33,45.18,2019
Kab. Ciamis,Jawa Barat,50.3,51.4,47.54,2019
Kab. Kuningan,Jawa Barat,49.79,53.17,49.13,2019
Kab. Majalengka,Jawa Barat,48.69,51.27,46.07,2019
Kab. Cirebon,Jawa Barat,46.97,50.39,45.39,2019
Kab. Indramayu,Jawa Barat,45.97,48.95,43.72,2019
Kab. Subang,Jawa Barat,47.85,50.29,46.0,2019
Kab. Purwakarta,Jawa Barat,47.06,50.43,46.01,2019
Kab. Karawang,Jawa Barat,66.68,48.52,43.34,2019
Kab. Bekasi,Jawa Barat,49.28,51.59,47.67,2019
Kab. Bandung Barat,Jawa Barat,61.03,50.59,46.24,2019
Kab. Pangandaran,Jawa Barat,47.94,47.95,44.03,2019
Kota Bandung,Jawa Barat,59.7,63.82,56.14,2019
Kota Bogor,Jawa Barat,61.07,64.45,57.4,2019
Kota Sukabumi,Jawa Barat,53.74,56.18,50.03,2019
